	ID	C	CnM	CM	CR
0	0	0.7184759	0.821113939286	0.0809370173469	0.0941676038095
1	1	0.985422024143	0.729516306429	0.0821754110204	0.0860956970476
2	2	0.452991720357	0.513863248571	0.0673930254388	0.067251301619
3	3	0.679683625714	0.606456197143	0.0826889428571	0.0950576348571
4	4	0.467072009643	0.390468747857	0.0855092077551	0.0805184729524
5	5	0.731560457143	0.362181722143	0.0830454287327	0.0646485209524
6	6	0.547275635714	0.474921095714	0.0603260602041	0.106695707143
7	7	0.552704562143	0.603657304286	0.09353168	0.0929457130476
8	8	0.64667699	0.712001707857	0.116717746837	0.0867933004762
9	9	0.69996473	0.58551295	0.15663565102	0.0833464038095
