	ID	C	CnM	CM	CR
0	0	0.5959564	0.61622533	0.0666636454082	0.058482565619
1	1	0.721085645714	0.763370199643	0.0986925071429	0.0686345864762
2	2	0.412479327857	0.364741072714	0.0636675357143	0.0646409827619
3	3	0.72180348	0.632650592143	0.0614765667347	0.0528178847619
4	4	0.44745266	0.459451979	0.0719728102041	0.0799540816095
5	5	0.529573947857	0.416497447857	0.0790936957143	0.0782853971429
6	6	0.548279301429	0.447043564286	0.112856219388	0.0697265791429
7	7	0.459013477857	0.418088286429	0.0737234785714	0.0997012340952
8	8	0.586240430714	0.539851997143	0.0885862460816	0.0611939046667
9	9	0.521346072857	0.416895792143	0.0754781844898	0.0673422269524
